ID	日本語文	指定動詞	パーツ	正答	タグ
bring up_1	母は私を一人で育てた。	bring up	alone	My mother brought me up alone.	自動詞vs他動詞|grow_up/bring_up|v:bring_up|文型:SVO
bring up_2	私は祖父母に育てられた。	bring up	grandparents	I was brought up by my grandparents.	自動詞vs他動詞|grow_up/bring_up|v:bring_up|文型:SVO
bring up_3	彼女は会議で新しいアイデアを提案した。	bring up	idea / meeting	She brought up a new idea at the meeting.	自動詞vs他動詞|grow_up/bring_up|v:bring_up|文型:SVO
grow up_1	私は東京で育った。	grow up	Tokyo	I grew up in Tokyo.	自動詞vs他動詞|grow_up/bring_up|v:grow_up|文型:SV
grow up_2	彼は大人になったら医者になりたい。	grow up	doctor	He wants to be a doctor when he grows up.	自動詞vs他動詞|grow_up/bring_up|v:grow_up|文型:SV
grow up_3	いい加減大人になれよ。	grow up	－	Grow up!	自動詞vs他動詞|grow_up/bring_up|v:grow_up|文型:SV
lay_1	私は本をテーブルに置いた。	lay	book / table	I laid the book on the table.	自動詞vs他動詞|lie/lay|v:lay|文型:SVO
lay_2	その鳥は毎朝卵を産む。	lay	bird / eggs / every morning	The bird lays eggs every morning.	自動詞vs他動詞|lie/lay|v:lay|文型:SVO
lay_3	彼らはその計画の基礎を築いた。	lay	foundation / plan	They laid the foundation for the plan.	自動詞vs他動詞|lie/lay|v:lay|文型:SVO
lie_1	私はベッドに横になった。	lie	bed	I lay on the bed.	自動詞vs他動詞|lie/lay|v:lie|文型:SV
lie_2	その町は山のふもとにある。	lie	town / foot / mountain	The town lies at the foot of the mountain.	自動詞vs他動詞|lie/lay|v:lie|文型:SV
lie_3	問題はそこにある。	lie	problem	The problem lies there.	自動詞vs他動詞|lie/lay|v:lie|文型:SV
raise_1	彼は手を挙げた。	raise	hand	He raised his hand.	自動詞vs他動詞|rise/raise/arise|v:raise|文型:SVO
raise_2	彼女は重要な問題を提起した。	raise	important issue	She raised an important issue.	自動詞vs他動詞|rise/raise/arise|v:raise|文型:SVO
raise_3	その会社は社員の給料を上げた。	raise	company / salary	The company raised the salary.	自動詞vs他動詞|rise/raise/arise|v:raise|文型:SVO
rise_1	太陽は東から昇る。	rise	sun / east	The sun rises in the east.	自動詞vs他動詞|rise/raise/arise|v:rise|文型:SV
rise_2	失業率が急激に上昇した。	rise	unemployment rate / sharply	The unemployment rate rose sharply.	自動詞vs他動詞|rise/raise/arise|v:rise|文型:SV
rise_3	彼はその困難に立ち向かった。	rise	challenge	He rose to the challenge.	自動詞vs他動詞|rise/raise/arise|v:rise|文型:SV
seat_1	このバスは50人乗れる。	seat	bus / 50 people	This bus seats 50 people.	自動詞vs他動詞|sit/seat|v:seat|文型:SVO
seat_2	お客様はこちらにお座りください。	seat	here	Please be seated here.	自動詞vs他動詞|sit/seat|v:seat|文型:SVO
seat_3	彼女は最前列に座っていた。	seat	front row	She was seated in the front row.	自動詞vs他動詞|sit/seat|v:seat|文型:SVO
sit_1	座ってください。	sit	down	Please sit down.	自動詞vs他動詞|sit/seat|v:sit|文型:SV
sit_2	彼はずっと座ったままだった。	sit	still	He sat still.	自動詞vs他動詞|sit/seat|v:sit|文型:SV
sit_3	私たちは床に座った。	sit	floor	We sat on the floor.	自動詞vs他動詞|sit/seat|v:sit|文型:SV
accompany_1	彼女は彼に同行して会議に出席した。	accompany	meeting	She accompanied him to the meeting.	実はSVO|v:accompany|文型:SVO
accompany_2	ガイドが私たちに同行した。	accompany	guide	A guide accompanied us.	実はSVO|v:accompany|文型:SVO
accompany_3	彼はピアノで彼女の歌を伴奏した。	accompany	piano / song	He accompanied her song on the piano.	実はSVO|v:accompany|文型:SVO
address_1	見知らぬ人が私に話しかけてきた。	address	stranger	A stranger addressed me.	実はSVO|v:address|文型:SVO
address_2	大統領は国民に演説した。	address	president / nation	The president addressed the nation.	実はSVO|v:address|文型:SVO
address_3	彼女はその問題に取り組んだ。	address	problem	She addressed the problem.	実はSVO|v:address|文型:SVO
answer_1	彼女は私の質問に答えた。	answer	question	She answered my question.	実はSVO|v:answer|文型:SVO
answer_2	誰もドアに出なかった。	answer	door	Nobody answered the door.	実はSVO|v:answer|文型:SVO
answer_3	彼は電話に出た。	answer	phone	He answered the phone.	実はSVO|v:answer|文型:SVO
approach_1	台風が町に近づいている。	approach	typhoon / town	The typhoon is approaching the town.	実はSVO|v:approach|文型:SVO
approach_2	試験の日が近づいている。	approach	exam day	The exam day is approaching.	実はSVO|v:approach|文型:SVO
approach_3	彼女は慎重にその問題に取り組んだ。	approach	problem / carefully	She carefully approached the problem.	実はSVO|v:approach|文型:SVO
attend_1	彼は会議に出席した。	attend	meeting	He attended the meeting.	実はSVO|v:attend|文型:SVO
attend_2	約500人がそのコンサートに出席した。	attend	500 people / concert	About 500 people attended the concert.	実はSVO|v:attend|文型:SVO
attend_3	彼女は地元の高校に通った。	attend	local high school	She attended the local high school.	実はSVO|v:attend|文型:SVO
consider_1	彼らはその提案を検討した。	consider	proposal	They considered the proposal.	実はSVO|v:consider|文型:SVO
consider_2	彼女は転職を考えている。	consider	changing jobs	She is considering changing jobs.	実はSVO|v:consider|文型:SVO
consider_3	もう一つの選択肢も検討すべきだ。	consider	another option	You should consider another option.	実はSVO|v:consider|文型:SVO
contact_1	何かあったらすぐ連絡してください。	contact	immediately	Please contact me immediately.	実はSVO|v:contact|文型:SVO
contact_2	詳細については事務局に連絡してください。	contact	details / office	Please contact the office for details.	実はSVO|v:contact|文型:SVO
