ID	和訳	構文	語彙パーツ	正解英文	ページ	タグ
L1-A1	この寺は600年ごろに建てられた<strong>と言われている</strong>。	It is said that S+V	temple / build / around 600	<strong>It is said that</strong> this temple was built around 600.	p.5	Lesson1|p.5|構文:It is said that S+V
L1-A2	彼女が本当のことを言っているのは<strong>明らかだ</strong>。	It is ... that S+V	clear / tell the truth	<strong>It is clear that</strong> she is telling the truth.	p.5	Lesson1|p.5|構文:It is ... that S+V
L1-A3	私の誕生日を覚えていてくれるなんて、あなたは<strong>思いやりがある</strong>ね。	It is ... of A to do	thoughtful / remember my birthday	<strong>It is thoughtful of you to</strong> remember my birthday.	p.5	Lesson1|p.5|構文:It is ... of A to do
L1-B4	彼が私の荷物を運ぶのを手伝ってくれたのは<strong>親切だった</strong>。	It is ... of A to do	kind / help me carry my baggage	<strong>It was kind of him to</strong> help me carry my baggage.	p.5	Lesson1|p.5|構文:It is ... of A to do
L1-B5	鳥インフルエンザが広がっている<strong>と言われている</strong>。	It is said that S+V	bird flu / spread	<strong>It is said that</strong> bird flu has been spreading.	p.5	Lesson1|p.5|構文:It is said that S+V
L1-B6	イチゴはオレンジよりビタミンCが多い<strong>と言われている</strong>。	S is said to do	strawberries / vitamin C / oranges	Strawberries <strong>are said to</strong> have more vitamin C than oranges.	p.5	Lesson1|p.5|構文:S is said to do
L1-C7	お昼に友達と話をするのは私には<strong>楽しい</strong>。	It is ... for A to do	enjoyable / talk with my friends / at lunch	<strong>It is enjoyable for me to</strong> talk with my friends at lunch.	p.5	Lesson1|p.5|構文:It is ... for A to do
L1-C8	次の試合であのチームに打ち勝つのは<strong>確実だ</strong>。	It is ... that S+V	certain / beat that team / next match	<strong>It is certain that</strong> we will beat that team in the next match.	p.5	Lesson1|p.5|構文:It is ... that S+V
L1-C9	この学校は3年以内に閉鎖される<strong>と言われている</strong>。	It is said that S+V	be closed / in three years	<strong>It is said that</strong> this school is going to be closed in three years.	p.5	Lesson1|p.5|構文:It is said that S+V
L1-D10	雪のせいであなたが来られないのは<strong>残念だ</strong>。	It is ... that S+V	a pity / can't come / because of the snow	<strong>It is a pity that</strong> you can't come because of the snow.	p.5	Lesson1|p.5|構文:It is ... that S+V
L1-D11	近い将来中国語がより重要になるだろう<strong>と言われている</strong>。	It is said that S+V	Chinese / important / in the near future	<strong>It is said that</strong> Chinese will become more important in the near future.	p.5	Lesson1|p.5|構文:It is said that S+V
L2-A1	その二人が初めて出会ったのは<strong>ハワイ</strong>だった。	It is A that ~（強調構文）	in Hawaii / meet / for the first time	<strong>It was in Hawaii that</strong> those two met for the first time.	p.7	Lesson2|p.7|構文:It is A that ~（強調構文）
