pos	word	meaning
名詞	academy	学院、専門学校
名詞	accident	事故
名詞	acid rain	酸性雨
名詞	action	1. 動き、演技 / 2. 行動、(一時の)行為、行い
名詞	activity	活動
名詞	actor	俳優
名詞	addition	つけ加えること　〔in addition to ～で〕～に加えて
名詞	address	あて名、住所
名詞	adult	大人、成人
名詞	advantage	有利な立場、利点
名詞	adventure	冒険
名詞	advertisement	広告、宣伝
名詞	advice	忠告、助言、アドバイス
名詞	Africa	アフリカ、アフリカ大陸
名詞	afternoon	午後
名詞	age	年齢、歳
名詞	air	空中、空気
名詞	air pollution	大気汚染
名詞	airport	空港
名詞	album	(写真、ＣＤ、レコードなどの) アルバム
名詞	ambulance	救急車
名詞	America	アメリカ合衆国 〔正式名称はthe United States of America〕
名詞	American	アメリカ人、米国人
名詞	amusement park	遊園地
名詞	ancestor	祖先、先祖
名詞	animal	《植物に対して》 動物
名詞	animation	動画、アニメーション
名詞	anime	（日本の）アニメ
名詞	answer	答え、応答、返事
名詞	apartment	アパート
名詞	apple	リンゴ
名詞	April	4月
名詞	aquarium	水族館
名詞	architect	（建物の）建設者、建築家
名詞	area	（大小さまざまの）場所、区域、地域、地方
名詞	arena	競技場、アリーナ
名詞	arm	腕
名詞	arrest	逮捕
名詞	art	1. 美術、芸術 / 2. 技術
名詞	artist	芸術家
名詞	Asia	アジア（大陸）
名詞	astronaut	宇宙飛行士
名詞	attention	注意、注目
名詞	attitude	態度、考え方、見方
名詞	audience	聴衆、観客
名詞	August	8月
名詞	aunt	おば、おばさん
名詞	Australia	オーストラリア
名詞	autumn	秋
名詞	baby	赤ちゃん
名詞	backyard	裏庭
名詞	bag	かばん、バッグ、袋
名詞	balance	つり合い、バランス、（からだや心の）安定
名詞	ball	ボール、球
名詞	balloon	風船
名詞	bamboo	竹
名詞	banana	バナナ
名詞	band	楽団、バンド
名詞	bank	銀行
名詞	barrier	壁、障壁
名詞	baseball	野球
名詞	basketball	バスケットボール
名詞	bat	（野球の）バット
名詞	bath	入浴　 〔take a bath の形で〕 入浴する
名詞	bathroom	トイレ、浴室
名詞	beach	浜、浜辺、海辺、なぎさ
名詞	bear	クマ
名詞	beauty	美しさ
名詞	bed	ベッド 　〔go to bed の形で〕 寝る、床につく
名詞	bedroom	寝室
名詞	beef	牛肉
名詞	bell	鈴、鐘
名詞	belt	ベルト、（ズボンの）バンド、帯
名詞	bench	長いす、ベンチ
名詞	best	最高（のもの）
名詞	bicycle	自転車
名詞	bike	自転車　　〔bicycle ともいう〕
名詞	billion	10億
名詞	bird	鳥
名詞	birthday	誕生日
名詞	black	黒、黒人
名詞	blackboard	黒板
名詞	block	かたまり、ブロック
名詞	blog	(コンピュータ)ブログ
名詞	blossom	(特に果樹の)花
名詞	blue	青
名詞	blueberry	ブルーベリー
名詞	board	板、掲示板、黒板
名詞	boat	ボート、小舟、船
名詞	body	からだ、肉体
名詞	bomb	爆弾
名詞	book	本、書物
名詞	bookcase	本箱
名詞	bookstore	本屋、書店
名詞	border	国境
名詞	bottle	びん
名詞	box	箱
名詞	boy	男の子、少年、青年
名詞	Braille	点字
名詞	branch	1. 支社 / 2. 枝
名詞	Brazil	ブラジル
名詞	bread	パン
名詞	break	休けい、中休み、中断
名詞	breakfast	朝食、朝ごはん
名詞	bridge	橋
名詞	brightness	明るさ
名詞	British	英国人、イギリス人
名詞	brother	兄、弟、兄弟
名詞	brown	茶色
名詞	brush	筆
名詞	bubble	泡、あぶく
名詞	builder	建造者
名詞	building	建物、ビル
名詞	bump	でこぼこ
名詞	burn	やけど
名詞	bus	バス
名詞	business	商売、事業
名詞	butter	バター
名詞	button	ボタン
名詞	buzzer	ブザー
名詞	cacao	カカオ（の実）
名詞	cafeteria	カフェテリア、学食
名詞	cake	ケーキ
名詞	calendar	暦、カレンダー
名詞	call	電話(すること)
名詞	calligraphy	書道
名詞	Cambodia	カンボジア
名詞	camera	カメラ
名詞	can	（金属製の）缶
名詞	Canada	カナダ
名詞	Canberra	キャンベラ（オーストラリアの首都）
名詞	cap	1. ぼうし 《つばがないか、つばが前だけにあるもの》 / 2. びんのふた
名詞	capital	～の首都、中心地
名詞	captain	（チームの）キャプテン
名詞	car	自動車、車
名詞	card	カード、はがき、トランプの札　 〔たとえば play cards の形で〕 トランプをする
名詞	cardboard	段ボール、ボール紙
名詞	care	1. 世話　〔take care of ～の形で〕 ～の面倒をみる / 2. 注意、関心、保護、用心
名詞	career	職業、経歴
名詞	carpenter	大工
名詞	carport	車庫、カーポート
名詞	carrot	ニンジン
名詞	case	1. ケース、箱、～入れ / 2. 場合、実例、実情、事実
名詞	castle	城 〔たとえば Hirosaki Castle の形で〕 弘前城
名詞	cat	ネコ
名詞	catalog	カタログ
名詞	catch	（ボールなどを）とらえること、キャッチボール　　〔play catch の形で〕　キャッチボールをする
名詞	cause	原因
名詞	cave	洞窟、ほら穴、横穴
名詞	CD	CD、コンパクトディスク 〔compact disc ［disk］の略〕
名詞	ceiling	天井
名詞	cell phone	携帯電話
名詞	cent	セント（アメリカ合衆国の通貨。100 cents = 1 dollar）
名詞	center	中心、中央、真ん中
名詞	century	世紀、100年
名詞	chair	（１人用で、背もたれのある） 椅子
名詞	challenge	挑戦、やりがい
名詞	champion	優勝者、選手権保持者、チャンピオン
名詞	championship	選手権（大会）、優勝
名詞	chance	機会、可能性、チャンス
名詞	change	おつり、つり銭、小銭
名詞	character	1. (人の)性格、人格、(物の)特色 / 2. 人物、登場人物
名詞	charity	慈善、チャリティー、慈善団体
名詞	chart	図表
名詞	cheese	チーズ
名詞	cheeseburger	チーズバーガー
名詞	chef	シェフ、コック長
名詞	cherry	サクランボ、サクラ（の木）
名詞	cherry blossom	サクラの花
名詞	chess	チェス
名詞	chest	胸
名詞	child	子ども
名詞	childhood	幼少時代
名詞	children	child の複数形
名詞	chimney	煙突
名詞	China	中国
名詞	Chinese	中国語、中国人
名詞	chocolate	チョコレート
名詞	choice	選ぶこと、選択、選ぶ自由
名詞	chorus	合唱
名詞	Christmas	クリスマス
名詞	church	教会
名詞	circle	円
名詞	city	市、都市、都会 〔city hall の形で〕 市役所
名詞	class	1. 授業 / 2. 学級、組、クラス
名詞	classmate	同級生、クラスメート、級友
名詞	classroom	教室
名詞	clean energy	再生可能エネルギー
名詞	clerk	係員、店員、係
名詞	climate	気候
名詞	clock	時計《置時計、掛け時計・柱時計》
名詞	cloth	布
名詞	clothes	衣服、服
名詞	cloud	雲
名詞	club	クラブ、部
名詞	coach	コーチ
名詞	coat	コート、上着
名詞	coffee	コーヒー
名詞	coin	硬貨、コイン
名詞	cola	コーラ
名詞	cold	かぜ　〔have a cold の形で〕 かぜをひいている
名詞	college	大学
名詞	color	色、肌の色
名詞	comic	マンガ
名詞	comment	コメント
名詞	communication	コミュニケーション、意思伝達、情報の伝達
名詞	community	地域社会
名詞	company	会社
名詞	compartment	もの入れ
名詞	computer	コンピュータ
名詞	concert	コンサート、演奏会、音楽会
名詞	conclusion	結論
名詞	condition	状態、容態、環境、状況
名詞	conditioner	ヘアコンディショナー、リンス
名詞	conditioner	冷暖房装置　〔air conditioner で〕エアコン
名詞	condominium	分譲マンション
名詞	conference	会議、会談、協議
名詞	connection	接続（すること）、つながり、関係
名詞	content	内容、中身
名詞	contest	コンテスト、コンクール
名詞	control	制御　〔out of controlで〕制御しきれなくなって
名詞	convenience	便利なこと（もの）
名詞	convenience store	コンビニエンスストア、コンビニ
名詞	cook	料理をする人
名詞	cooking	料理
名詞	corner	（道路の）曲がり角
名詞	costume	服装、衣装、コスチューム
名詞	cotton	綿
名詞	cough	せき
名詞	country	国
名詞	courage	勇気
名詞	course	1. 〔Of course.の形で〕 もちろん / 2. 方向、進路 / 3. 講座、コース
名詞	court	（テニスなどの）コート
名詞	cousin	いとこ
名詞	cow	牛（雌牛、乳牛）
名詞	cracker	（菓子の）クラッカー
名詞	craftsperson	職人
名詞	crane	ツル
名詞	creativity	創造性[力]、独創[力]
名詞	culture	文化、土壌、習慣、風習、知的産物
名詞	cup	（紅茶・コーヒー用などの）カップ、茶わん、賞杯
名詞	curry	カレー、カレー料理
名詞	cushion	ざぶとん、クッション
名詞	custom	風習、習慣
名詞	customer	客、顧客
名詞	cycling	サイクリング
名詞	dad	パパ、お父さん　《家庭内で子どもが父親を呼ぶのに使う。呼びかけの時にはしばしば大文字で始めて Dad とする。》
名詞	dance	踊り、ダンス
名詞	dancer	踊る人、舞踏家、ダンサー
名詞	danger	危険（な状態）
名詞	date	日付、月日、日時
名詞	daughter	娘
名詞	day	1. 日、1日 / 2. 日中、昼間
名詞	day-at-work program	職業体験プログラム
名詞	death	死、死亡
名詞	decade	10年間
名詞	December	12月
名詞	decision	決断
名詞	degree(s) Celsius	〔5℃ = five degrees Celsius で摂氏5度〕
名詞	democracy	民主主義
名詞	demonstration	（集会・行進などによる〕デモ、デモンストレーション
名詞	dentist	歯医者
名詞	department store	デパート
名詞	design	デザイン、設計
名詞	designer	デザイナー、設計者
名詞	desk	机
名詞	developing country	発展途上国
名詞	diary	日記、日記帳
名詞	dictionary	辞書
名詞	difference	ちがい、相違（点）、差
名詞	difficulty	苦しさ、困難、苦労
名詞	dining	食事
名詞	dinner	ディナー、夕食
名詞	dinosaur	恐竜
名詞	director	(映画)監督
名詞	disaster	災害
名詞	discount	割引
名詞	disease	病気
名詞	dish	1. 皿、食器類 / 2. 一皿、料理
名詞	doctor	医者、医師、博士
名詞	dog	イヌ
名詞	doggy bag	ドギーバッグ
名詞	dollar	ドル　　　《米国・カナダなどの貨幣で、1ドルは100セント》
名詞	dolphin	イルカ
名詞	dome	丸屋根、ドーム
名詞	donut	ドーナツ
名詞	door	戸、ドア、戸口、玄関
名詞	dot	点
名詞	Dr. (Dr)	～博士　Doctorの短縮形
名詞	drama	（テレビの）ドラマ、劇
名詞	dream	夢、希望、理想
名詞	dress	衣装、ドレス
名詞	driftwood	流木
名詞	drill	訓練
名詞	drink	飲み物　　〔たとえば soft drinks の形で〕清涼（せいりょう）飲料
