ID	単語	品詞	意味	コロケーション	和文	英文	英文穴埋め	タグ
w0001-1	academy	名詞	学院、専門学校	music academy	彼女は有名な音楽学院で学んでいます。	She studies music at a famous <strong>academy</strong>.	"She studies music at a famous <span class=""blank"">_____</span>."	品詞:名詞|単語:academy
w0001-2	academy	名詞	学院、専門学校	military academy	彼は去年、士官学校に入りました。	He got into a <strong>military academy</strong> last year.	"He got into a <span class=""blank"">_____ _____</span> last year."	品詞:名詞|単語:academy
w0001-3	academy	名詞	学院、専門学校	offers courses	その専門学校ではアートとデザインのコースを提供しています。	The academy <strong>offers courses</strong> in art and design.	"The academy <span class=""blank"">_____ _____</span> in art and design."	品詞:名詞|単語:academy
w0002-1	accident	名詞	事故	car accident	高速道路で交通事故がありました。	There was a <strong>car accident</strong> on the highway.	"There was a <span class=""blank"">_____ _____</span> on the highway."	品詞:名詞|単語:accident
w0002-2	accident	名詞	事故	by accident	彼女はうっかりカップを割ってしまいました。	She broke the cup <strong>by accident</strong>.	"She broke the cup <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:accident
w0002-3	accident	名詞	事故	had an accident	彼は自転車に乗っているときに事故に遭いました。	He <strong>had an accident</strong> while riding his bike.	"He <span class=""blank"">_____ _____ _____</span> while riding his bike."	品詞:名詞|単語:accident
w0003-1	acid rain	名詞	酸性雨	Acid rain damages	酸性雨は森や川に害を与えます。	<strong>Acid rain damages</strong> forests and rivers.	"<span class=""blank"">_____ _____ _____</span> forests and rivers."	品詞:名詞|単語:acid rain
w0003-2	acid rain	名詞	酸性雨	causes of acid rain	理科の授業で酸性雨の原因について学びました。	We learned about the <strong>causes of acid rain</strong> in science class.	"We learned about the <span class=""blank"">_____ _____ _____ _____</span> in science class."	品詞:名詞|単語:acid rain
w0003-3	acid rain	名詞	酸性雨	lead to acid rain	大気汚染は酸性雨を引き起こすことがあります。	Air pollution can <strong>lead to acid rain</strong>.	"Air pollution can <span class=""blank"">_____ _____ _____ _____</span>."	品詞:名詞|単語:acid rain
w0004-1	action	名詞	1. 動き、演技 / 2. 行動、(一時の)行為、行い	take action	環境を守るために行動を起こす必要があります。	We need to <strong>take action</strong> to protect the environment.	"We need to <span class=""blank"">_____ _____</span> to protect the environment."	品詞:名詞|単語:action
w0004-2	action	名詞	1. 動き、演技 / 2. 行動、(一時の)行為、行い	action in the movie	映画の主人公の演技は素晴らしかった。	The hero&#x27;s <strong>action in the movie</strong> was amazing.	"The hero&#x27;s <span class=""blank"">_____ _____ _____ _____</span> was amazing."	品詞:名詞|単語:action
w0004-3	action	名詞	1. 動き、演技 / 2. 行動、(一時の)行為、行い	need action	言葉だけでは足りません。行動が必要です。	Words are not enough — we <strong>need action</strong>.	"Words are not enough — we <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:action
w0005-1	activity	名詞	活動	outdoor activities	修学旅行でたくさんの野外活動に参加しました。	We joined a lot of <strong>outdoor activities</strong> on the school trip.	"We joined a lot of <span class=""blank"">_____ _____</span> on the school trip."	品詞:名詞|単語:activity
w0005-2	activity	名詞	活動	Club activities	部活動は4時から始まります。	<strong>Club activities</strong> start at four o&#x27;clock.	"<span class=""blank"">_____ _____</span> start at four o&#x27;clock."	品詞:名詞|単語:activity
w0005-3	activity	名詞	活動	physical activity	水泳は健康にとって素晴らしい身体活動です。	Swimming is a great <strong>physical activity</strong> for your health.	"Swimming is a great <span class=""blank"">_____ _____</span> for your health."	品詞:名詞|単語:activity
w0006-1	actor	名詞	俳優	famous actor	彼はあの映画の後、有名な俳優になりました。	He became a <strong>famous actor</strong> after that movie.	"He became a <span class=""blank"">_____ _____</span> after that movie."	品詞:名詞|単語:actor
w0006-2	actor	名詞	俳優	become an actor	彼女は大人になったら俳優になりたいと思っています。	She wants to <strong>become an actor</strong> when she grows up.	"She wants to <span class=""blank"">_____ _____ _____</span> when she grows up."	品詞:名詞|単語:actor
w0006-3	actor	名詞	俳優	played the role	その俳優は優しい医者の役を演じました。	The actor <strong>played the role</strong> of a kind doctor.	"The actor <span class=""blank"">_____ _____ _____</span> of a kind doctor."	品詞:名詞|単語:actor
w0007-1	addition	名詞	つけ加えること　〔in addition to ～で〕～に加えて	In addition to	英語に加えて、彼女はフランス語も勉強しています。	<strong>In addition to</strong> English, she studies French.	"<span class=""blank"">_____ _____ _____</span> English, she studies French."	品詞:名詞|単語:addition
w0007-2	addition	名詞	つけ加えること　〔in addition to ～で〕～に加えて	In addition	さらに、教室を掃除する必要があります。	<strong>In addition</strong>, we need to clean up the classroom.	"<span class=""blank"">_____ _____</span>, we need to clean up the classroom."	品詞:名詞|単語:addition
w0007-3	addition	名詞	つけ加えること　〔in addition to ～で〕～に加えて	a great addition to	新しいメンバーは私たちのチームにとって大きな戦力です。	The new member is <strong>a great addition to</strong> our team.	"The new member is <span class=""blank"">_____ _____ _____ _____</span> our team."	品詞:名詞|単語:addition
w0008-1	address	名詞	あて名、住所	name and address	この用紙に名前と住所を書いてください。	Please write your <strong>name and address</strong> on this form.	"Please write your <span class=""blank"">_____ _____ _____</span> on this form."	品詞:名詞|単語:address
