ID	日本語文	指定動詞／表現	パーツ	正答
UNIT 1　tell型 / say型				
V 人 of ～				
tell_1	彼女は手術のリスクについて知らされなかった。	tell	risks / operation	She was not told of the risks of the operation.
tell_2	誰も私たちにスケジュールの変更を知らせなかった。	tell	change / schedule	Nobody told us of the change in the schedule.
tell_3	彼はその決定について事前に知らされていた。	tell	decision / advance	He had been told of the decision in advance.
remind_1	この写真を見ると子どもの頃を思い出す。	remind	photo / childhood	This photo reminds me of my childhood.
remind_2	彼女の笑顔は私に亡き母を思い出させた。	remind	smile / late mother	Her smile reminded me of my late mother.
remind_3	その匂いは私に故郷を思い出させる。	remind	smell / hometown	The smell reminds me of my hometown.
convince_1	彼女はなかなか自分の無実を信じてもらえなかった。	convince	innocence	She could not convince them of her innocence.
convince_2	その証拠が陪審員に彼の有罪を確信させた。	convince	evidence / jury / guilt	The evidence convinced the jury of his guilt.
convince_3	彼はようやく上司にその計画の価値を納得させた。	convince	boss / value / plan	He finally convinced his boss of the value of the plan.
persuade_1	彼はようやく委員会にその方針の必要性を納得させた。	persuade	committee / necessity / policy	He finally persuaded the committee of the necessity of the policy.
persuade_2	弁護士はなんとか陪審員に依頼人の無実を信じさせた。	persuade	lawyer / jury / client's innocence	The lawyer managed to persuade the jury of his client's innocence.
persuade_3	彼女は親にその計画の安全性を納得させることができなかった。	persuade	parents / safety / plan	She could not persuade her parents of the safety of the plan.
warn_1	政府は国民に台風の危険を警告した。	warn	government / people / danger / typhoon	The government warned the people of the danger of the typhoon.
warn_2	先生は生徒たちにカンニングの結果を警告した。	warn	teacher / students / consequences / cheating	The teacher warned the students of the consequences of cheating.
warn_3	彼女はあらかじめリスクについて警告されていた。	warn	risks / beforehand	She had been warned of the risks beforehand.
inform_1	警察は家族に事故のことを知らせた。	inform	police / family / accident	The police informed the family of the accident.
inform_2	会社は従業員に方針の変更を通知した。	inform	company / employees / change / policy	The company informed the employees of the change in policy.
inform_3	彼女はすぐに上司に結果を報告した。	inform	boss / result / immediately	She immediately informed her boss of the result.
V 人 that ～				
tell_4	医者は彼に、すぐに手術が必要だと告げた。	tell	doctor / operation / immediately	The doctor told him that he needed an operation immediately.
tell_5	彼女は私に、その話は本当ではないと言った。	tell	story / true	She told me that the story was not true.
tell_6	先生は生徒たちに、試験は延期されると伝えた。	tell	teacher / exam / postponed	The teacher told the students that the exam would be postponed.
remind_4	彼女は私に、会議が3時からだと念を押した。	remind	meeting / three o'clock	She reminded me that the meeting started at three o'clock.
remind_5	この事件は私たちに、安全がいかに大切かを改めて教えてくれた。	remind	incident / safety / important	This incident reminded us that safety is very important.
remind_6	彼は私に、締め切りが明日だということを思い出させてくれた。	remind	deadline / tomorrow	He reminded me that the deadline was tomorrow.
convince_4	彼女は私に、その決断が正しいと納得させた。	convince	decision / right	She convinced me that the decision was right.
convince_5	科学者たちはついに政府に、対策が必要だと納得させた。	convince	scientists / government / measures / necessary	The scientists finally convinced the government that measures were necessary.
convince_6	彼はなかなか家族に、自分が大丈夫だと信じてもらえなかった。	convince	family / fine	He could not convince his family that he was fine.
persuade_4	彼は彼女に、その仕事が自分に向いていると納得させた。	persuade	job / suited	He persuaded her that the job was suited to him.
persuade_5	医者はようやく患者に、手術が必要だと納得させた。	persuade	doctor / patient / operation / necessary	The doctor finally persuaded the patient that the operation was necessary.
